player_id,player_name,age,position,experience_years,OBP,SLG,AVG,HR,RBI,BB,injury_risk,market_bias,salary_usd,projected_runs,estimated_wins_added,cost_per_projected_run,value_index,business_recommendation
PLY-0001,James Young,30,2B,10,0.383,0.319,0.246,19,58,35,Alto,Neutral,6354556,126.8,12.68,50114.79,19.95,Riesgo alto
PLY-0002,Victor Taylor,31,CF,9,0.256,0.516,0.238,14,53,51,Bajo,Neutral,6330577,133.2,13.32,47526.85,21.04,Fichar
PLY-0003,Miguel Martinez,36,1B,13,0.282,0.455,0.272,18,65,46,Bajo,Neutral,7264123,140.0,14.0,51886.59,19.27,Fichar
PLY-0004,George Taylor,27,DH,9,0.243,0.399,0.231,16,54,47,Bajo,Neutral,5383287,133.4,13.34,40354.48,24.78,Fichar
PLY-0005,Ryan Smith,31,C,9,0.323,0.477,0.279,16,63,42,Medio,Neutral,7400674,140.0,14.0,52861.96,18.92,Fichar
PLY-0006,Miguel Rodriguez,24,LF,1,0.367,0.6,0.205,16,56,46,Bajo,Subestimado,5116091,140.0,14.0,36543.51,27.36,Fichar
PLY-0007,Mike Anderson,29,CF,8,0.403,0.444,0.301,15,50,50,Medio,Neutral,7297434,140.0,14.0,52124.53,19.18,Fichar
PLY-0008,Robert Johnson,35,RF,13,0.338,0.449,0.282,10,50,50,Alto,Subestimado,4680595,140.0,14.0,33432.82,29.91,Riesgo alto
PLY-0009,John Anderson,29,DH,11,0.408,0.396,0.274,19,63,62,Alto,Sobrevalorado,10501794,140.0,14.0,75012.81,13.33,Riesgo alto
PLY-0010,Kevin Harris,23,1B,0,0.273,0.366,0.299,18,59,41,Bajo,Subestimado,2598688,128.5,12.85,20223.25,49.45,Fichar
PLY-0011,Daniel White,37,1B,14,0.258,0.492,0.323,12,78,41,Bajo,Subestimado,4562180,140.0,14.0,32587.0,30.69,Fichar
PLY-0012,Victor Jackson,36,SS,13,0.333,0.366,0.301,10,66,44,Medio,Subestimado,3871529,129.1,12.91,29988.61,33.35,Fichar
PLY-0013,George Anderson,27,SS,6,0.352,0.435,0.201,18,75,54,Medio,Neutral,6891447,140.0,14.0,49224.62,20.32,Fichar
PLY-0014,Alex Rodriguez,28,LF,6,0.334,0.394,0.22,15,51,43,Bajo,Neutral,5655644,140.0,14.0,40397.46,24.75,Fichar
PLY-0015,Luis Lewis,23,2B,2,0.242,0.466,0.243,15,60,49,Bajo,Subestimado,3004474,136.6,13.66,21994.69,45.47,Fichar
PLY-0016,James Davis,36,RF,16,0.331,0.455,0.266,17,55,47,Alto,Subestimado,4881412,140.0,14.0,34867.23,28.68,Riesgo alto
PLY-0017,James Clark,32,C,13,0.276,0.508,0.283,17,65,51,Medio,Neutral,6790916,140.0,14.0,48506.54,20.62,Fichar
PLY-0018,David Moore,31,LF,9,0.365,0.392,0.24,24,66,47,Medio,Subestimado,4885688,140.0,14.0,34897.77,28.66,Fichar
PLY-0019,Peter Davis,23,3B,2,0.351,0.41,0.272,16,62,48,Alto,Neutral,5912362,134.8,13.48,43860.25,22.8,Riesgo alto
PLY-0020,Mike Young,31,C,13,0.293,0.357,0.239,12,61,47,Medio,Neutral,5508873,131.2,13.12,41988.36,23.82,Fichar
PLY-0021,Victor Martinez,22,CF,0,0.312,0.397,0.244,7,60,46,Bajo,Neutral,4604774,138.4,13.84,33271.49,30.06,Fichar
PLY-0022,Kevin Wilson,29,DH,6,0.287,0.458,0.216,12,51,49,Bajo,Subestimado,3856921,139.5,13.95,27648.18,36.17,Fichar
PLY-0023,Victor Rodriguez,22,3B,0,0.332,0.487,0.233,17,60,40,Bajo,Sobrevalorado,7829682,137.9,13.79,56777.97,17.61,Fichar
PLY-0024,Andrew Harris,30,3B,11,0.378,0.361,0.218,17,51,45,Bajo,Neutral,6441183,140.0,14.0,46008.45,21.74,Fichar
PLY-0025,David Clark,32,LF,13,0.291,0.495,0.231,14,60,31,Medio,Neutral,6856257,140.0,14.0,48973.26,20.42,Fichar
PLY-0026,Miguel Smith,27,2B,4,0.358,0.532,0.302,16,62,51,Medio,Subestimado,4485129,140.0,14.0,32036.64,31.21,Fichar
PLY-0027,Mike Brown,37,LF,15,0.311,0.461,0.232,13,56,51,Alto,Neutral,7339842,140.0,14.0,52427.44,19.07,Riesgo alto
PLY-0028,Daniel Smith,28,CF,7,0.299,0.571,0.357,10,48,44,Bajo,Subestimado,4210402,140.0,14.0,30074.3,33.25,Fichar
PLY-0029,Peter Anderson,34,2B,15,0.33,0.372,0.282,16,63,41,Medio,Neutral,6823646,137.3,13.73,49698.81,20.12,Fichar
PLY-0030,Mike Lopez,31,CF,10,0.288,0.337,0.271,8,53,34,Medio,Sobrevalorado,5708741,114.8,11.48,49727.71,20.11,Fichar
PLY-0031,David Moore,28,2B,9,0.31,0.297,0.235,16,50,47,Medio,Neutral,5133625,126.9,12.69,40454.1,24.72,Fichar
PLY-0032,Brian Jackson,31,1B,12,0.281,0.542,0.29,22,51,48,Medio,Subestimado,4571472,140.0,14.0,32653.37,30.62,Fichar
PLY-0033,Miguel Moore,24,3B,4,0.423,0.479,0.245,13,44,48,Bajo,Subestimado,4553030,140.0,14.0,32521.64,30.75,Fichar
PLY-0034,Miguel White,23,RF,4,0.337,0.426,0.269,13,44,36,Bajo,Neutral,5551213,134.5,13.45,41272.96,24.23,Fichar
PLY-0035,Jose Clark,30,DH,12,0.304,0.451,0.355,13,52,53,Bajo,Subestimado,4605248,140.0,14.0,32894.63,30.4,Fichar
PLY-0036,Victor Thomas,29,CF,7,0.345,0.346,0.262,20,68,46,Bajo,Subestimado,3698454,140.0,14.0,26417.53,37.85,Fichar
PLY-0037,Anthony Jackson,34,C,12,0.33,0.613,0.305,10,59,38,Bajo,Neutral,7286146,140.0,14.0,52043.9,19.21,Fichar
PLY-0038,Jose Miller,33,2B,12,0.325,0.44,0.24,16,54,42,Medio,Neutral,6925155,140.0,14.0,49465.39,20.22,Fichar
PLY-0039,James Davis,31,DH,12,0.363,0.438,0.264,19,59,40,Alto,Subestimado,5508103,134.1,13.41,41074.59,24.35,Riesgo alto
PLY-0040,John Anderson,28,C,10,0.369,0.484,0.327,25,57,41,Medio,Sobrevalorado,11521334,140.0,14.0,82295.24,12.15,Fichar
PLY-0041,Miguel Taylor,30,DH,9,0.311,0.466,0.243,17,59,40,Medio,Subestimado,4464048,140.0,14.0,31886.06,31.36,Fichar
